ID_ALUNO;ANO_INGRESSO;IE_2020;FASE_2020;PEDRA_2020;INDE_2020;IAA_2020;IEG_2020;DESTAQUE_IEG_2020;IDA_2020;DESTAQUE_IDA_2020;IPV_2020;DESTAQUE_IPV_2020;IPP_2020;IPS_2020;IAN_2020;PONTO_VIRADA_2020;IE_2021;FASE_2021;PEDRA_2021;INDE_2021;IAA_2021;IEG_2021;IPS_2021;IDA_2021;IPP_2021;IPV_2021;IAN_2021;REC_EQUIPE_1_2021;REC_EQUIPE_2_2021;REC_EQUIPE_3_2021;REC_EQUIPE_4_2021;PONTO_VIRADA_2021;NIVEL_IDEAL_2021;DEFASAGEM_2021;BOLSISTA_2022;FASE_2022;PEDRA_2022;INDE_2022;IAA_2022;IEG_2022;DESTAQUE_IEG_2022;IDA_2022;DESTAQUE_IDA_2022;IPV_2022;DESTAQUE_IPV_2022;IPS_2022;IPP_2022;IAN_2022;CG_2022;CF_2022;CT_2022;NOTA_PORT_2022;NOTA_MAT_2022;NOTA_ING_2022;QTD_AVAL_2022;REC_EQUIPE_1_2022;REC_EQUIPE_2_2022;REC_EQUIPE_3_2022;REC_EQUIPE_4_2022;INDICADO_BOLSA_2022;PONTO_VIRADA_2022;NIVEL_IDEAL_2022
1;2018;Escola Pública;2H;Ametista;7.88;8.5;8.7;Seu destaque em 2020: A sua boa entrega das lições de casa.;7.0;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;7.75;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;5.94;7.5;10;Não;Rede Decisão;2.0;Ametista;7.32;7.5;6.3;6.9;8.8;7.7;8.1;5.0;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;Nível 3 (7o e 8o ano);-1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;0.0;Ametista;7.68;1.0;7.58;Destaque: A sua boa entrega das lições de casa.;8.82;Destaque: As suas boas notas na Passos Mágicos.;7.92;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.5;5.63;5.0;245.0;66.0;6.0;8.2;9.4;;2.0;Mantido na Fase + Bolsa;Mantido na Fase atual;;;Sim;Não;Fase 2 (5º e 6º ano)
3;2018;Escola Pública;3H;Ametista;7.86;7.92;8.9;Seu destaque em 2020: A sua boa entrega das lições de casa.;5.5;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;8.11;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.13;7.5;10;Não;Escola Pública;3.0;Ametista;7.02;7.1;6.9;6.3;5.6;7.3;7.2;10.0;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;Nível 3 (7o e 8o ano);0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2022;Escola Pública;1D;Quartzo;5.08;8.0;4.1;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;0.0;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;7.75;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.19;6.88;5;Não;;;;;;;;;;;;;;;;;;;Não;2.0;Ametista;7.12;1.0;8.07;Destaque: A sua boa entrega das lições de casa.;5.08;Melhorar: Empenhar-se mais nas aulas e avaliações.;8.06;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.5;6.25;5.0;451.0;69.0;3.0;5.0;5.2;;3.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;;Não;Não;Fase 3 (7º e 8º ano)
5;2019;Escola Pública;2M;Ametista;8.08;7.5;8.0;Seu destaque em 2020: A sua boa entrega das lições de casa.;7.5;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;8.17;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.44;7.5;10;Não;Escola Pública;2.0;Ametista;7.4;7.4;7.5;7.5;5.4;8.5;7.4;10.0;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;Nível 2 (5o e 6o ano);0.0;Não;2.0;Ametista;7.23;6.42;8.56;Destaque: A sua boa entrega das lições de casa.;7.08;Melhorar: Empenhar-se mais nas aulas e avaliações.;7.83;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.5;6.46;5.0;415.0;61.0;12.0;6.7;7.5;;3.0;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;Fase 3 (7º e 8º ano)
6;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;2.0;Ametista;7.74;9.0;9.33;Destaque: A sua boa entrega das lições de casa.;5.5;Melhorar: Empenhar-se mais nas aulas e avaliações.;7.5;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.5;6.25;10.0;221.0;35.0;2.0;3.0;8.0;;3.0;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;Fase 2 (5º e 6º ano)
7;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;1.0;Ametista;7.41;1.0;9.31;Destaque: A sua boa entrega das lições de casa.;5.58;Melhorar: Empenhar-se mais nas aulas e avaliações.;7.92;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.5;5.94;5.0;357.0;93.0;7.0;4.7;6.5;;2.0;Promovido de Fase;Promovido de Fase;;;Não;Não;Fase 2 (5º e 6º ano)
8;2017;Rede Decisão/União;4L;Ametista;8.38;8.33;9.9;Seu destaque em 2020: A sua boa entrega das lições de casa.;7.33;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;8.94;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.75;4.38;10;Sim;Rede Decisão;5.0;Topázio;8.27;8.8;8.6;7.5;7.1;8.0;8.5;10.0;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não;Nível 5 (1o EM);0.0;Sim;5.0;Ametista;7.29;9.17;8.27;Destaque: A sua boa entrega das lições de casa.;7.14;Melhorar: Empenhar-se mais nas aulas e avaliações.;7.63;Destaque: A sua boa integração aos Princípios Passos Mágicos.;5.0;7.66;5.0;397.0;26.0;6.0;6.5;7.7;7.3;4.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase + Bolsa;Promovido de Fase;Não;Não;Fase 6 (2º EM)
9;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;0.0;Quartzo;5.67;9.0;6.82;Melhorar: Melhorar a sua entrega de lições de casa.;2.13;Melhorar: Empenhar-se mais nas aulas e avaliações.;5.5;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;5.0;3.75;10.0;767.0;184.0;9.0;2.5;1.8;;2.0;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;ALFA  (2º e 3º ano)
10;2019;Escola Pública;3B;Quartzo;5.16;5.83;5.2;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;0.0;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;6.83;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.97;3.75;10;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
