ID_ALUNO,ANO_INGRESSO,INDE,PEDRA,PONTO_VIRADA,ano
1,2018.0,7.88,Ametista,Não,2020
3,2018.0,7.86,Ametista,Não,2020
4,2022.0,5.08,Quartzo,Não,2020
5,2019.0,8.08,Ametista,Não,2020
8,2017.0,8.38,Ametista,Sim,2020
10,2019.0,5.16,Quartzo,Não,2020
11,2020.0,9.71,Topázio,Sim,2020
12,2017.0,5.84,Quartzo,Não,2020
14,2018.0,6.43,Ágata,Não,2020
15,2019.0,5.16,Quartzo,Não,2020
17,2018.0,7.77,Ametista,Não,2020
18,2017.0,7.21,Ágata,Não,2020
28,2018.0,9.35,Topázio,Sim,2020
30,2022.0,7.13,Ágata,Não,2020
33,2020.0,7.01,Ágata,Não,2020
34,2018.0,7.7,Ametista,Não,2020
35,2017.0,6.64,Ágata,Não,2020
36,2019.0,8.31,Ametista,Não,2020
37,2018.0,6.68,Ágata,Não,2020
39,2017.0,8.13,Ametista,Não,2020
41,2020.0,7.46,Ametista,Não,2020
43,2018.0,7.81,Ametista,Não,2020
44,2020.0,6.22,Ágata,Não,2020
45,2022.0,6.63,Ágata,Não,2020
46,2020.0,6.97,Ágata,Não,2020
51,2019.0,8.96,Topázio,Não,2020
52,2018.0,8.18,Ametista,Não,2020
55,2017.0,6.88,Ágata,Sim,2020
57,2018.0,7.31,Ametista,Não,2020
59,2020.0,6.56,Ágata,Não,2020
60,2016.0,7.68,Ametista,Não,2020
61,2020.0,5.6,Quartzo,Não,2020
62,2020.0,6.33,Ágata,Não,2020
68,2020.0,5.99,Quartzo,Não,2020
71,2019.0,7.55,Ametista,Não,2020
75,2019.0,9.69,Topázio,Sim,2020
76,2020.0,8.96,Topázio,Não,2020
78,2017.0,7.35,Ametista,Não,2020
80,2022.0,6.5,Ágata,Não,2020
81,2019.0,7.39,Ametista,Sim,2020
82,2020.0,7.95,Ametista,Não,2020
83,2016.0,8.16,Ametista,Sim,2020
84,2021.0,8.75,Topázio,Não,2020
85,2019.0,7.26,Ágata,Não,2020
86,2019.0,5.69,Quartzo,Não,2020
87,2016.0,8.19,Ametista,Sim,2020
88,2018.0,9.04,Topázio,Sim,2020
89,2019.0,7.94,Ametista,Não,2020
90,2019.0,7.07,Ágata,Não,2020
91,2018.0,6.85,Ágata,Não,2020
94,2019.0,6.76,Ágata,Não,2020
95,2019.0,7.34,Ametista,Não,2020
96,2019.0,6.43,Ágata,Sim,2020
97,2018.0,7.39,Ametista,Não,2020
100,2018.0,6.91,Ágata,Não,2020
102,2020.0,7.97,Ametista,Não,2020
103,2020.0,8.6,Topázio,Não,2020
105,2020.0,8.52,Topázio,Não,2020
106,2020.0,8.45,Ametista,Não,2020
111,2020.0,6.85,Ágata,Não,2020
112,2018.0,6.45,Ágata,Não,2020
113,2019.0,7.69,Ametista,Não,2020
115,2019.0,5.33,Quartzo,Não,2020
117,2020.0,8.03,Ametista,Não,2020
118,2019.0,8.34,Ametista,Não,2020
120,2019.0,7.9,Ametista,Não,2020
125,2020.0,7.19,Ágata,Não,2020
128,2019.0,5.85,Quartzo,Não,2020
132,2017.0,7.34,Ametista,Não,2020
133,2019.0,8.43,Ametista,Não,2020
135,2019.0,7.8,Ametista,Não,2020
136,2018.0,4.64,Quartzo,Não,2020
139,2020.0,6.11,Ágata,Não,2020
145,2019.0,8.35,Ametista,Sim,2020
146,2018.0,6.39,Ágata,Não,2020
147,2019.0,5.93,Quartzo,Não,2020
149,2019.0,7.13,Ágata,Não,2020
151,2019.0,8.24,Ametista,Não,2020
152,2019.0,7.96,Ametista,Não,2020
153,2017.0,8.17,Ametista,Sim,2020
154,2019.0,5.88,Quartzo,Não,2020
156,2018.0,7.11,Ágata,Não,2020
157,2019.0,7.18,Ágata,Não,2020
158,2018.0,6.06,Quartzo,Não,2020
160,2018.0,4.48,Quartzo,Não,2020
162,2018.0,7.95,Ametista,Não,2020
163,2017.0,6.44,Ágata,Não,2020
164,2019.0,7.71,Ametista,Não,2020
165,2019.0,8.43,Ametista,Não,2020
168,2019.0,8.08,Ametista,Não,2020
169,2020.0,7.8,Ametista,Não,2020
173,2016.0,3.74,Quartzo,Não,2020
183,2018.0,7.86,Ametista,Não,2020
184,2018.0,8.26,Ametista,Não,2020
186,2020.0,6.31,Ágata,Não,2020
187,2020.0,6.41,Ágata,Não,2020
188,2018.0,7.74,Ametista,Sim,2020
